Count	V_gene	J_gene
36122	IGHV1-8*01	IGHJ4*02
837	IGHV1-69*13	IGHJ6*03
144	IGHV1-69*01	IGHJ6*03
143	IGHV1-68*01	IGHJ1*01
122	IGHV3-63*01	IGHJ6*02
119	IGHV3-63*03	IGHJ6*02
115	IGHV3-63*01	IGHJ6*01
107	IGHV1-38-4*01	IGHJ6*04
94	IGHV1-2*02	IGHJ6*02
93	IGHV3-30-2*01	IGHJ3*01
81	IGHV3-62*04	IGHJ1*01
80	IGHV3-32*01	IGHJ6*03
79	IGHV2-10*02	IGHJ3*02
79	IGHV3-63*02	IGHJ6*02
77	IGHV3-64*02	IGHJ6*01
74	IGHV1-24*01	IGHJ6*01
74	IGHV2-10*01	IGHJ6*01
74	IGHV3-63*02	IGHJ6*01
72	IGHV3-54*07	IGHJ5*03
71	IGHV1-38-4*01	IGHJ2*01
71	IGHV3-54*07	IGHJ6*03
70	IGHV1-68*03	IGHJ6*01
70	IGHV3-54*01	IGHJ6*03
67	IGHV3-63*03	IGHJ6*03
66	IGHV2-10*02	IGHJ6*02
65	IGHV3-60*06	IGHJ3*01
64	IGHV1-68*02	IGHJ6*03
63	IGHV3-30-22*01	IGHJ6*04
63	IGHV3-63*01	IGHJ6*03
62	IGHV3-30-22*01	IGHJ6*03
59	IGHV1-45*03	IGHJ2*01
59	IGHV3-54*01	IGHJ6*01
57	IGHV1-45*03	IGHJ6*02
57	IGHV3-63*01	IGHJ2*01
57	IGHV3-63*01	IGHJ3*01
55	IGHV3-30-22*01	IGHJ2*01
54	IGHV3-54*02	IGHJ1*01
52	IGHV1-38-4*01	IGHJ6*02
52	IGHV3-30-22*01	IGHJ3*01
51	IGHV3-32*01	IGHJ6*02
51	IGHV3-63*02	IGHJ6*03
50	IGHV3-41*02	IGHJ6*04
49	IGHV2-10*01	IGHJ2*01
49	IGHV3-47*01	IGHJ3*02
48	IGHV3-15*04	IGHJ2*01
48	IGHV3-21*04	IGHJ6*01
48	IGHV6-1*01	IGHJ6*02
48	IGHV7-81*02	IGHJ3*01
47	IGHV4-30-2*05	IGHJ3*01
46	IGHV3-30-42*03	IGHJ6*02
44	IGHV6-1*03	IGHJ6*01
43	IGHV3-30-22*01	IGHJ3*02
43	IGHV3-30-22*01	IGHJ6*02
43	IGHV3-32*01	IGHJ6*04
41	IGHV1-2*04	IGHJ6*02
41	IGHV3-29*01	IGHJ6*03
41	IGHV3-29*02	IGHJ6*01
41	IGHV3-30-42*03	IGHJ4*01
41	IGHV7-34-1*03	IGHJ3*01
40	IGHV2-26*01	IGHJ3*01
39	IGHV1-2*02	IGHJ6*01
39	IGHV1-68*01	IGHJ6*01
39	IGHV2-70*01	IGHJ4*01
39	IGHV3-60*06	IGHJ6*04
38	IGHV3-30-22*01	IGHJ6*01
38	IGHV3-35*02	IGHJ2*01
38	IGHV3-63*03	IGHJ6*01
37	IGHV1-8*01	IGHJ6*02
37	IGHV3-63*02	IGHJ6*04
37	IGHV4-30-2*05	IGHJ6*02
37	IGHV7-81*02	IGHJ2*01
37	IGHV8-51-1*04	IGHJ6*04
36	IGHV2-10*02	IGHJ3*01
